0, 1645, 14410
1533685, 2, 4
2266093, 4, 4
1582137, 4, 2
1331469, 3, 3
549930, 2, 4
2086312, 1, 3
1495142, 3, 3
60561, 4, 4
1282969, 5, 5
495916, 2, 5
2401257, 3, 5
2592137, 4, 4
1104394, 4, 3
1591751, 3, 4
406360, 3, 4
566197, 4, 3
2595450, 4, 3
2548399, 4, 4
337821, 3, 3
1893713, 3, 4
1670076, 3, 4
442820, 4, 4
6835, 3, 4
292601, 2, 4
547383, 5, 4
2019899, 3, 4
642063, 4, 4
315710, 3, 5
2621771, 3, 5
570831, 3, 3
1032676, 3, 4
1969720, 5, 5
1518608, 4, 3
1645742, 4, 3
2504363, 4, 3
60296, 3, 4
2127722, 4, 5
1710414, 5, 5
256747, 5, 4
796509, 2, 4
959955, 4, 4
194318, 4, 5
358544, 3, 4
1034415, 2, 3
643172, 1, 3
282515, 4, 4
574487, 3, 3
99889, 4, 4
2101308, 1, 5
298592, 2, 4
2103907, 3, 2
1190429, 4, 5
1179914, 5, 4
1421161, 4, 4
804627, 3, 4
79417, 3, 5
2559349, 3, 3
2088174, 4, 4
2126327, 4, 5
981558, 3, 4
120379, 4, 5
1600650, 2, 4
1532775, 4, 3
1009789, 2, 3
759015, 4, 4
2016869, 4, 4
2072167, 5, 5
2455101, 2, 3
258181, 4, 4
2582303, 3, 4
1300795, 3, 2
614672, 4, 3
40842, 3, 3
1653860, 5, 4
2272657, 3, 4
2171904, 4, 5
266293, 4, 3
2586648, 2, 5
1238272, 3, 4
897501, 2, 5
146006, 4, 3
514579, 4, 4
1514006, 3, 4
2062502, 2, 5
1255271, 4, 3
1225798, 1, 5
14166, 3, 4
1622492, 3, 3
2626618, 2, 4
2048093, 5, 4
2373167, 3, 3
609586, 4, 3
1218541, 4, 4
2086089, 4, 4
958623, 4, 3
1449421, 4, 4
1405644, 3, 3
2120324, 4, 5
179273, 4, 4
2591031, 3, 4
1364228, 3, 4
1752615, 5, 5
2097121, 4, 5
2382306, 3, 4
2608608, 4, 3
283381, 4, 4
2638189, 4, 4
449731, 4, 4
321901, 4, 4
291024, 4, 4
1104956, 4, 5
1708361, 4, 3
611553, 4, 4
1154280, 4, 4
947748, 5, 2
986373, 4, 2
2320450, 3, 4
635997, 4, 4
930910, 3, 5
568596, 4, 4
487961, 3, 3
2151895, 3, 4
1273134, 2, 4
